+====================+===================+==================================================+
| Launch Setup Clock | Launch Hold Clock | Pin                                              |
| clk_pll_i          | snesclk_clk_wiz_0 | main/SNES/CPU/DAS_reg[7][9]/D                    |
| clk_pll_i          | snesclk_clk_wiz_0 | main/SNES/CPU/NTLR_reg[2][5]/D                   |
| clk_pll_i          | snesclk_clk_wiz_0 | main/SNES/CPU/P65C816/P_reg[3]/D                 |
| clk_pll_i          | snesclk_clk_wiz_0 | main/SNES/CPU/P65C816/IR_reg[4]/D                |
| snesclk_clk_wiz_0  | snesclk_clk_wiz_0 | main/vga_to_hdmi/inst/srldly_0/srl[31].srl16_i/D |
| snesclk_clk_wiz_0  | snesclk_clk_wiz_0 | main/vga_to_hdmi/inst/srldly_0/srl[39].srl16_i/D |
| snesclk_clk_wiz_0  | snesclk_clk_wiz_0 | main/vga_to_hdmi/inst/srldly_0/srl[23].srl16_i/D |
| snesclk_clk_wiz_0  | snesclk_clk_wiz_0 | main/vga_to_hdmi/inst/srldly_0/srl[30].srl16_i/D |
| snesclk_clk_wiz_0  | snesclk_clk_wiz_0 | main/vga_to_hdmi/inst/srldly_0/srl[22].srl16_i/D |
| snesclk_clk_wiz_0  | snesclk_clk_wiz_0 | main/vga_to_hdmi/inst/srldly_0/srl[38].srl16_i/D |
| snesclk_clk_wiz_0  | snesclk_clk_wiz_0 | main/vga_to_hdmi/inst/srldly_0/srl[21].srl16_i/D |
| snesclk_clk_wiz_0  | snesclk_clk_wiz_0 | main/vga_to_hdmi/inst/srldly_0/srl[20].srl16_i/D |
+--------------------+-------------------+--------------------------------------------------+
